PLAYER_ID,PARTNER_ID,PIMS,PPS_ON,PPS_OFF,N_CNT_SHOT,MIN_GROUP,PLAYER_NAME,PARTNER_NAME
1627763,1628369,1.42873003020294,1.2,1.06,235,OFF,Malcolm Brogdon,Jayson Tatum
1627763,1629684,1.25769365721179,1.11,1.21,263,OFF,Malcolm Brogdon,Grant Williams
1627763,1630573,1.35829071250139,1.12,1.18,320,ON,Malcolm Brogdon,Sam Hauser
1627763,1627759,-1.10015669347951,1.075,1.15,279,OFF,Malcolm Brogdon,Jaylen Brown
1627763,203935,1.40529439142192,1.29,1.095,203,ON,Malcolm Brogdon,Marcus Smart
1627763,1628401,-1.21923664760968,1.16,1.14,331,ON,Malcolm Brogdon,Derrick White
1627763,1628436,1.07895987407873,1.29,1.1,207,ON,Malcolm Brogdon,Luke Kornet
202330,1628372,-1.34966431957682,1.15,1.02,219,ON,Gordon Hayward,Dennis Smith Jr.
1626162,1629023,1.2146062862468,0.975,1.02,241,OFF,Kelly Oubre Jr.,P.J. Washington
1626162,1626179,1.04670217127719,0.97,1.02,215,OFF,Kelly Oubre Jr.,Terry Rozier
1626162,1629667,1.16356799193487,1.06,0.9,283,OFF,Kelly Oubre Jr.,Jalen McDaniels
1626162,1630208,-1.1288868039127,0.94,1.03,258,OFF,Kelly Oubre Jr.,Nick Richards
1626179,202330,-1.21873771755912,0.96,0.94,214,OFF,Terry Rozier,Gordon Hayward
1626179,1629023,1.27286163870826,0.995,0.94,355,OFF,Terry Rozier,P.J. Washington
1626179,203486,2.12464448928228,1.02,0.85,254,OFF,Terry Rozier,Mason Plumlee
1626179,1628372,-1.22634840876597,0.89,1.07,355,ON,Terry Rozier,Dennis Smith Jr.
1626179,1630550,1.06912409242561,0.9,1.03,229,ON,Terry Rozier,JT Thor
1626179,1629667,-1.22084285696464,0.99,0.96,419,OFF,Terry Rozier,Jalen McDaniels
1626179,1626162,1.49698830273876,0.95,0.82,219,OFF,Terry Rozier,Kelly Oubre Jr.
1626179,1630208,1.81657510104357,0.92,0.98,297,ON,Terry Rozier,Nick Richards
1626179,1630163,1.32059346697366,1.05,0.88,206,OFF,Terry Rozier,LaMelo Ball
1629023,202330,2.03479045835915,1.08,1,221,OFF,P.J. Washington,Gordon Hayward
1629023,1626179,-1.07619871859869,1.08,0.91,204,OFF,P.J. Washington,Terry Rozier
1629023,203486,1.17703759398256,0.99,1.05,243,OFF,P.J. Washington,Mason Plumlee
1629023,1628372,1.14061323834104,1.04,1.05,326,OFF,P.J. Washington,Dennis Smith Jr.
1629023,1629667,1.82466123838524,1.015,1.02,337,OFF,P.J. Washington,Jalen McDaniels
1629023,1630208,1.02467422316949,1.1,0.96,269,ON,P.J. Washington,Nick Richards
1629667,203486,1.08727888114112,1.01,1.05,222,OFF,Jalen McDaniels,Mason Plumlee
1630163,1629667,1.71693760911177,1,0.975,274,ON,LaMelo Ball,Jalen McDaniels
202696,1627936,1.13384698270799,1.17,1.16,450,OFF,Nikola Vucevic,Alex Caruso
202696,1630172,1.16321577173082,1.17,1.1,415,OFF,Nikola Vucevic,Patrick Williams
202696,1629632,1.2854315191633,1.12,1.16,392,ON,Nikola Vucevic,Coby White
202696,1630245,-1.01497429548167,1.16,1.11,472,OFF,Nikola Vucevic,Ayo Dosunmu
201942,202696,1.51247187022664,1.06,0.99,364,OFF,DeMar DeRozan,Nikola Vucevic
201942,1627936,-1.60941933209999,1.08,1.04,512,ON,DeMar DeRozan,Alex Caruso
201942,1630172,-1.34081847992468,1.08,1.01,588,OFF,DeMar DeRozan,Patrick Williams
201942,1629632,-1.09389082666317,1.02,1.07,472,ON,DeMar DeRozan,Coby White
201942,201609,1.13978721295211,1.08,1.03,240,ON,DeMar DeRozan,Goran Dragic
201942,1630245,-1.82869091975073,1.025,1.07,605,OFF,DeMar DeRozan,Ayo Dosunmu
201942,203083,1.132151627331,0.99,1.07,283,ON,DeMar DeRozan,Andre Drummond
201942,1627884,1.02369749370093,0.98,1.05,241,ON,DeMar DeRozan,Derrick Jones Jr.
201942,203897,1.23432962866851,1.03,1.05,460,OFF,DeMar DeRozan,Zach LaVine
1630245,1629632,2.64233653691037,1.08,1.11,241,ON,Ayo Dosunmu,Coby White
1629632,202696,1.35253595793584,1.14,1.07,291,OFF,Coby White,Nikola Vucevic
1629632,1630172,-1.02096656868722,1.05,1.16,279,OFF,Coby White,Patrick Williams
1629632,1630245,-1.37656138162314,1.05,1.16,272,OFF,Coby White,Ayo Dosunmu
1629632,203083,1.01430669184754,1.07,1.1,212,ON,Coby White,Andre Drummond
1629632,1627884,-1.41823673042621,1.12,1.05,208,ON,Coby White,Derrick Jones Jr.
1629632,203897,1.47142902462681,1.13,1.07,271,ON,Coby White,Zach LaVine
1630172,1629632,1.11037904074494,1.12,1.08,270,ON,Patrick Williams,Coby White
1630172,1630245,-1.09799314277982,1.08,1.12,208,OFF,Patrick Williams,Ayo Dosunmu
203897,202696,-1.18534914609041,1.15,1,340,OFF,Zach LaVine,Nikola Vucevic
203897,1627936,1.00267176887375,1.15,1.09,478,OFF,Zach LaVine,Alex Caruso
203897,1630172,1.2353721436935,1.14,1.1,585,OFF,Zach LaVine,Patrick Williams
203897,1629632,1.2221627397849,1.14,1.12,489,ON,Zach LaVine,Coby White
203897,201609,1.13757844983664,1,1.14,200,ON,Zach LaVine,Goran Dragic
203897,201942,1.27440703137361,1.15,1.09,446,OFF,Zach LaVine,DeMar DeRozan
203897,1630245,1.9890317956295,1.09,1.15,618,ON,Zach LaVine,Ayo Dosunmu
203897,203083,-1.08710218530172,1.01,1.19,244,ON,Zach LaVine,Andre Drummond
203897,1627884,-1.23697664615148,1.03,1.16,239,ON,Zach LaVine,Derrick Jones Jr.
1628378,1630596,-1.29959040165275,1.15,1.13,330,OFF,Donovan Mitchell,Evan Mobley
1628378,1629636,-1.03723973645333,1.16,1.13,374,OFF,Donovan Mitchell,Darius Garland
1628378,1628386,1.01521712041773,1.18,1.12,260,OFF,Donovan Mitchell,Jarrett Allen
1628378,1626224,1.16619358659717,1.12,1.15,396,ON,Donovan Mitchell,Cedi Osman
1628378,1629731,-1.44720492617377,1.19,1.19,272,ON,Donovan Mitchell,Dean Wade
1628378,1630171,-1.20795845635144,1.09,1.16,548,ON,Donovan Mitchell,Isaac Okoro
1628378,201567,1.2997154638366,1.11,1.17,244,ON,Donovan Mitchell,Kevin Love
1628378,1627747,1.49349959600025,1.21,1.08,541,OFF,Donovan Mitchell,Caris LeVert
1628378,1630205,1.06214594319752,1.16,1.13,356,ON,Donovan Mitchell,Lamar Stevens
1630596,1628386,2.29864701826612,1.07,1.16,337,OFF,Evan Mobley,Jarrett Allen
1630596,1626224,1.27984283996457,1.17,1.12,296,ON,Evan Mobley,Cedi Osman
1630596,1629731,1.10644769405721,0.98,1.21,208,ON,Evan Mobley,Dean Wade
1630596,1630171,-1.10606838790057,1.13,1.13,399,ON,Evan Mobley,Isaac Okoro
1630596,1627747,1.06861552019038,1.13,1.17,338,OFF,Evan Mobley,Caris LeVert
1630596,1630205,1.56423077590432,1.19,1.12,228,ON,Evan Mobley,Lamar Stevens
1627747,1628378,-1.09760021414193,1,1.07,214,OFF,Caris LeVert,Donovan Mitchell
1627747,1630596,1.86606483454342,1.06,0.99,252,OFF,Caris LeVert,Evan Mobley
1627747,1629636,1.48065332358853,1.04,1.08,226,OFF,Caris LeVert,Darius Garland
1627747,1628386,1.14730426497894,1,1.04,207,OFF,Caris LeVert,Jarrett Allen
1627747,1626224,1.56382516043372,1.08,1.01,296,ON,Caris LeVert,Cedi Osman
1627747,1630171,-1.1120895389516,1.01,1.01,236,ON,Caris LeVert,Isaac Okoro
1629636,1628378,1.02822931545029,1.06,1.1,298,OFF,Darius Garland,Donovan Mitchell
1629636,1630596,1.0750637424631,1.07,1.08,247,OFF,Darius Garland,Evan Mobley
1629636,1628386,-1.02885107238164,1.13,1.02,253,OFF,Darius Garland,Jarrett Allen
1629636,1626224,1.32510795437192,1.11,1.04,348,ON,Darius Garland,Cedi Osman
1629636,1630171,-1.17468553955306,1.15,1.03,511,ON,Darius Garland,Isaac Okoro
1629636,1627747,1.29457044007403,0.95,1.23,462,OFF,Darius Garland,Caris LeVert
1629636,1630205,1.36803779618727,1.12,1.09,318,ON,Darius Garland,Lamar Stevens
1628386,1630596,-1.21127335102761,1.25,1.35,224,OFF,Jarrett Allen,Evan Mobley
1628386,1630171,-1.16039308647291,1.27,1.32,300,OFF,Jarrett Allen,Isaac Okoro
1628386,1627747,-1.16868132059526,1.27,1.29,227,OFF,Jarrett Allen,Caris LeVert
1626224,1630596,1.29609767087588,1.13,1.13,214,OFF,Cedi Osman,Evan Mobley
1626224,1628386,1.00635193896433,1.13,1.1,203,OFF,Cedi Osman,Jarrett Allen
